City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,6.05,61,100,3.09,US,1712373407
1,tarko-sale,64.9225,77.785,-15.26,79,100,7.02,RU,1712373407
2,kerikeri,-35.2268,173.9474,19.36,76,64,4.21,NZ,1712373407
3,kodiak,57.79,-152.4072,3.73,56,0,8.23,US,1712373408
4,tura,25.5198,90.2201,28.56,62,8,3.68,IN,1712373135
5,ushuaia,-54.8,-68.3,11.81,54,0,5.14,AR,1712373203
6,port-aux-francais,-49.35,70.2167,8.98,97,100,13.29,TF,1712373408
7,kraljevo,43.7258,20.6894,6.0,87,0,0.0,RS,1712373179
8,katsuura,35.1333,140.3,14.01,94,100,5.15,JP,1712373409
9,bilibino,68.0546,166.4372,-9.97,74,15,0.1,RU,1712373409
10,lompoc,34.6391,-120.4579,9.77,83,0,5.14,US,1712373409
11,onsong,42.9572,129.9933,19.91,24,2,0.79,KP,1712373409
12,edinburgh of the seven seas,-37.0676,-12.3116,18.82,93,87,11.38,SH,1712373409
13,adamstown,-25.066,-130.1015,22.13,66,73,2.62,PN,1712373410
14,bich'vinta,43.1592,40.3378,7.1,79,13,1.5,GE,1712373275
15,tiksi,71.6872,128.8694,-21.47,95,97,2.07,RU,1712373410
16,waitangi,-43.9535,-176.5597,12.68,81,95,4.47,NZ,1712373410
17,selfoss,63.9331,-20.9971,-4.42,51,0,5.47,IS,1712373411
18,port elizabeth,-33.918,25.5701,16.84,74,100,0.45,ZA,1712373411
19,papatowai,-46.5619,169.4708,13.84,69,83,4.02,NZ,1712373411
20,anadyr,64.75,177.4833,-16.72,85,0,4.0,RU,1712373411
21,novyy urgal,51.0736,132.5642,2.78,90,100,5.95,RU,1712373412
22,beloyarskiy,63.7119,66.6722,-14.44,85,25,1.79,RU,1712373412
23,tres arroyos,-38.3739,-60.2798,14.61,63,0,2.29,AR,1712373156
24,wewak,-3.5534,143.6268,29.26,78,100,1.62,PG,1712373412
25,iskateley,67.6803,53.1512,-13.32,92,34,4.92,RU,1712373413
26,albany,42.6001,-73.9662,3.84,80,98,3.58,US,1712373322
27,puerto natales,-51.7236,-72.4875,11.41,69,92,6.82,CL,1712373413
28,kavaratti,10.5669,72.642,29.01,69,100,3.94,IN,1712373413
29,jamestown,42.097,-79.2353,2.77,99,100,5.14,US,1712373162
30,grand falls-windsor,48.9332,-55.6649,-0.83,92,100,0.45,CA,1712373414
31,val-d'or,48.1002,-77.7828,0.46,92,97,4.27,CA,1712373414
32,codrington,-38.2667,141.9667,15.98,77,100,1.31,AU,1712373414
33,blackmans bay,-43.0167,147.3167,22.07,54,3,0.89,AU,1712373414
34,cururupu,-1.8283,-44.8683,23.76,100,83,0.34,BR,1712373415
35,kudahuvadhoo,2.6708,72.8944,28.99,74,76,1.95,MV,1712373415
36,caleta de carquin,-11.0925,-77.6267,22.25,86,99,3.82,PE,1712373415
37,iqaluit,63.7506,-68.5145,-8.15,86,100,2.06,CA,1712373415
38,bredy,52.4153,60.3411,6.49,82,100,0.61,RU,1712373415
39,east london,-33.0153,27.9116,17.18,78,100,2.57,ZA,1712373308
40,avarua,-21.2078,-159.775,26.03,89,100,5.14,CK,1712373416
41,touros,-5.1989,-35.4608,25.73,89,8,2.41,BR,1712373277
42,isiro,2.7739,27.616,20.35,100,100,0.64,CD,1712373416
43,salinopolis,-0.6136,-47.3561,26.88,85,63,5.37,BR,1712373353
44,college,64.8569,-147.8028,2.47,75,100,3.6,US,1712373233
45,pangody,65.85,74.4859,-17.28,88,9,7.34,RU,1712373417
46,saint-francois,46.4154,3.9054,15.69,39,0,4.63,FR,1712373417
47,khandyga,62.6667,135.6,-1.5,87,100,1.23,RU,1712373417
48,puerto deseado,-47.7503,-65.8938,13.75,49,81,7.91,AR,1712373417
49,djibouti,11.5,42.5,22.95,80,73,3.96,DJ,1712373345
50,invercargill,-46.4,168.35,13.34,82,79,3.13,NZ,1712373418
51,grytviken,-54.2811,-36.5092,1.93,80,76,0.99,GS,1712373418
52,brokopondo,4.75,-55.1667,26.11,77,81,4.8,SR,1712373418
53,badger,64.8,-147.5333,2.42,82,75,3.6,US,1712373418
54,isafjordur,66.0755,-23.124,-7.67,72,58,3.08,IS,1712373419
55,bamboo flat,11.7,92.7167,29.72,60,18,1.65,IN,1712373377
56,mirny,62.5353,113.9611,-16.94,80,100,3.17,RU,1712373419
57,port mathurin,-19.6833,63.4167,26.73,80,67,7.26,MU,1712373419
58,mili,6.0815,171.735,28.28,80,94,8.53,MH,1712373420
59,luganville,-15.5333,167.1667,27.74,85,100,5.08,VU,1712373420
60,kumagunnam,13.1551,10.6342,26.19,12,6,2.65,NG,1712373420
61,quellon,-43.1167,-73.6167,11.45,89,100,3.4,CL,1712373321
62,naze,28.3667,129.4833,21.29,85,99,1.13,JP,1712373420
63,okoneshnikovo,54.8377,75.0834,8.42,78,1,2.52,RU,1712373421
64,la passe,45.5549,-0.8967,16.13,73,71,12.32,FR,1712373421
65,mogocha,53.7333,119.7667,-4.74,41,49,6.97,RU,1712373421
66,uturoa,-16.7333,-151.4333,29.22,73,99,2.89,PF,1712373422
67,west island,-12.1568,96.8225,29.99,70,58,4.63,CC,1712373422
68,chonchi,-42.6128,-73.8092,11.73,93,67,1.15,CL,1712373422
69,praia da vitoria,38.7333,-27.0667,12.09,84,15,7.27,PT,1712373422
70,thompson,55.7435,-97.8558,1.28,95,99,4.07,CA,1712373422
71,whitby,54.4877,-0.615,12.4,89,100,1.79,GB,1712373423
